state,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
Tunisia,10548997,0,0.003,0,0,0.0005,0.0035,0,0,0,0.0001,0.0001,0.98,0.01,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.9937,0.9999,0,1
Turkey,76787632,0.0008,0.0005,0.0011,0,0.0017,0.0042,0,0,0,0.0002,0.0002,0.9858,0,0,0,0,0,0,0.9858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0048,0.9952,1,0,83
Turkmenistan,5616004,0,0,0.09,0,0,0.09,0,0,0,0.0001,0.0001,0.89,0,0,0,0,0,0,0.89,0,0,0.0001,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0.01,0.0096,0.9904,1,0,83
Uganda,31118996,0.085,0.4001,0.0009,0.306,0.041,0.833,0,0,0,0.0001,0.0001,0.1146,0.0054,0,0,0,0,0,0.12,0,0,0.0001,0.0001,0,0.0058,0.0001,0,0.0016,0,0.0001,0,0.0001,0.0337,0.0043,0.0011,0.9989,1,0,83
Ukraine,46005476,0.019,0.004,0.757,0,0.072,0.852,0,0,0,0.0015,0.0015,0.0099,0,0,0,0,0,0,0.0099,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.1348,0.0009,0.9991,1.0001,0,141
United Arab Emirates,6236650,0,0.0297,0.0297,0,0.012,0.0714,0,0,0,0,0,0.5661,0.1087,0,0,0,0,0,0.6748,0,0,0.0035,0.0035,0,0.2225,0,0,0.01,0,0,0,0,0,0.0136,0.0041,0.9959,0.9999,0,83
United Kingdom,62206876,0.0727,0.0709,0.0042,0.3182,0.1603,0.6263,0,0,0,0.0042,0.0042,0.0386,0.0048,0,0,0,0,0,0.0434,0,0,0.004,0.004,0.0001,0.0131,0.0068,0,0.0001,0.0001,0.0003,0,0.0036,0.0013,0.2616,0.0351,0.9649,1,0,75
Uruguay,3356679,0.11,0.471,0.0051,0.0002,0.232,0.8183,0,0,0,0.003,0.003,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0.172,0.0052,0.9948,1,0,99
Uzbekistan,28160570,0,0,0.04,0,0.01,0.05,0,0,0,0.0001,0.0001,0.92,0.01,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179,0.002,0.998,1,0,83
Venezuela,28834000,0.15,0.8,0,0,0,0.95,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.001,0.001,0,0,0.0004,0.0004,0,0,0,0,0.0003,0,0,0,0.0002,0.0019,0.0439,0.0016,0.9984,0.9999,0,84
Vietnam,87918024,0.011,0.08,0,0,0,0.091,0,0,0,0,0,0.001,0.0001,0,0,0,0,0,0.0011,0.12,0.37,0,0.49,0,0.0006,0,0,0.0037,0,0,0,0.0093,0.04,0.364,0.0003,0.9997,1,0,320
Yemen,23605382,0,0,0,0,0,0,0,0,0,0,0,0.55,0.44,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.99,1,0,83
Zambia,13039656,0.2927,0.3547,0.001,0.0128,0.2088,0.87,0,0,0,0.0001,0.0001,0.005,0.0005,0,0,0,0,0,0.0055,0,0,0.0003,0.0003,0,0.005,0,0,0.0111,0,0,0,0,0.1049,0.0018,0.0013,0.9987,1,0,83
Zimbabwe,12165294,0.197,0.1895,0.0037,0.0464,0.3823,0.8188,0,0,0,0.0009,0.0009,0.0105,0.0002,0,0,0,0,0,0.0107,0,0,0,0,0,0.0015,0,0,0.0021,0,0,0,0,0.1354,0.0256,0.0049,0.9951,0.9999,0,350
