state,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
Finland,5363908,0.783,0,0.011,0,0,0.794,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0045,0.0045,0,0,0.0009,0.0009,0,0,0,0,0.0003,0,0,0,0.0007,0,0.166,0.0332,0.9668,0.9998,0,150
France,62722560,0.02,0.645,0.0117,0.0002,0.025,0.7019,0,0,0,0.0077,0.0077,0.0717,0.0072,0,0,0,0,0,0.0789,0,0,0.0104,0.0104,0,0.0008,0,0,0,0,0,0,0.0036,0.0018,0.1915,0.0035,0.9965,1.0001,0,83
Gabon,1402214,0.1413,0.4506,0,0,0.1552,0.7472,0,0,0,0,0,0.145,0.005,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0.0838,0.016,0.0025,0.9975,0.9999,0,350
Georgia,4452394,0.0136,0.0072,0.7709,0,0.0064,0.798,0,0,0,0.0027,0.0027,0.099,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0876,0.0077,0.9923,1,0,102
Germany,81698976,0.3097,0.3146,0.0166,0.0004,0.0666,0.7078,0,0,0,0.0015,0.0015,0.0355,0.0034,0,0,0.0061,0,0.0039,0.049,0,0,0.003,0.003,0,0.0012,0.0003,0,0.0001,0,0,0,0,0,0.23,0.0071,0.9929,1,0,83
Ghana,23997252,0.4584,0.131,0,0,0.114,0.7034,0,0,0,0,0,0.1528,0.0232,0,0,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.06,0.0076,0.9924,1,0,208
Greece,11319288,0.0072,0.0045,0.932,0,0,0.9438,0,0,0,0.0005,0.0005,0.0212,0.0028,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261,0.0056,0.9944,1,0,83
Guatemala,13824463,0.4,0.55,0,0,0,0.95,0,0,0,0.0001,0.0001,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0459,0.0036,0.9964,0.9999,0,83
Guinea,10238627,0.0217,0.0405,0,0.0005,0.0172,0.08,0,0,0,0,0,0.842,0.008,0,0,0,0,0,0.85,0,0,0.0009,0.0009,0,0,0,0,0,0,0,0,0,0.0659,0.0019,0.0013,0.9987,1,0,1
Haiti,9760832,0.1,0.72,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0.0009,0,0,0,0.45,0,0.1,0,1.3711,1.3711,1,1
Honduras,8002039,0.32,0.57,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0099,0.9901,0.9999,0,83
Hungary,9900000,0.1818,0.4725,0.0194,0,0,0.6736,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2716,0.0532,0.9468,1,0,117
Iceland,316821,0.868,0.0304,0.0022,0,0.0149,0.9155,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0.0034,0.0034,0,0,0,0,0.0012,0,0,0,0,0.0044,0.0325,0.0378,0.9622,0.9998,0,154
India,1195000000,0.0073,0.0075,0.0017,0,0.007,0.0234,0,0,0,0,0,0.1139,0.0201,0,0,0,0,0,0.134,0,0,0.0077,0.0077,0.0001,0.8045,0.0187,0,0.0014,0,0.0041,0,0.0001,0.0024,0.0031,0.0004,0.9996,0.9999,0,313
Indonesia,239960000,0.07,0.03,0,0,0.006,0.106,0,0,0,0,0,0.8293,0.0085,0,0,0,0.0021,0,0.8399,0,0,0.008,0.008,0,0.015,0.0001,0,0.0001,0,0,0,0.0086,0.0133,0.0075,0.0015,0.9985,1,0,83
Iran,74073560,0,0,0.0016,0,0,0.0016,0,0,0,0.0001,0.0001,0.09,0.9,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0.0036,0.0007,0.9993,1.0001,0,301
Iraq,31800000,0,0.0083,0.0105,0,0,0.0189,0,0,0,0,0,0.325,0.625,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0201,0.9799,1,0,83
Ireland,4462987,0.007,0.8652,0.0032,0.0301,0.0244,0.9299,0,0,0,0.0004,0.0004,0,0,0,0,0,0,0.0058,0.0058,0,0,0.0002,0.0002,0,0,0,0,0.0003,0,0,0,0,0,0.0605,0.0029,0.9971,1,0,751
Israel,7624494,0,0.0133,0.0067,0,0,0.02,0.7237,0.0044,0.0029,0,0.731,0.1799,0,0,0,0,0,0.02,0.1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.0042,0.9958,1.0001,0,90
Italy,60483224,0,0.7913,0,0,0.0026,0.7939,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.0116,0.0116,0,0,0.0001,0.0001,0,0.0001,0.0004,0,0.0001,0,0,0,0.0008,0,0.1868,0.0055,0.9945,0.9999,0,83
Ivory Coast,21411568,0.0709,0.277,0.0023,0,0.0248,0.375,0,0,0,0,0,0.3675,0.0037,0,0,0,0,0.0037,0.375,0,0,0.0005,0.0005,0,0.0001,0,0,0.0015,0,0,0,0,0.24,0.0058,0.0021,0.9979,1,0,83
Jamaica,2868630,0.6052,0.0202,0,0.0261,0.0366,0.6881,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0005,0.0005,0,0,0.0001,0.0001,0,0.0056,0,0,0.0001,0,0,0,0,0,0.1994,0.106,0.894,1,0,80
Japan,127451704,0.0103,0.0084,0.0004,0.0004,0.0002,0.0196,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0.6907,0.6907,0,0.0002,0,0.8474,0.0001,0,0,0.0009,0.0023,0.0001,0.095,0,1.658,1.6578,1,83
Jordan,6112148,0,0.005,0.022,0,0.003,0.03,0,0,0,0,0,0.95,0.02,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,83
Kazakhstan,16315848,0,0,0.29,0,0,0.29,0,0,0,0.0002,0.0002,0.5632,0.03,0,0,0,0,0,0.5932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1152,0.0013,0.9987,0.9999,0,83
Kenya,40187108,0.3117,0.2799,0.01,0.1277,0.077,0.8063,0,0,0,0,0,0.0992,0.0052,0,0,0,0,0,0.1045,0,0,0,0,0,0.0044,0.0011,0,0.0062,0,0.0019,0,0,0.0712,0.0033,0.0011,0.9989,1,0,202
Kosovo,1733872,0,0.0221,0.0149,0,0,0.0369,0,0,0,0,0,0,0,0,0,0,0,0.9561,0.9561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.0011,0.9989,1,0,126
Kuwait,2695568,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2195,0,0,0,0,0,0.9195,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.0405,0.9595,1,0,83
Kyrgyzstan,5365372,0.0021,0,0.08,0,0.0186,0.1007,0,0,0,0.0001,0.0001,0.77,0.0002,0,0,0,0,0,0.7702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.079,0.921,1,0,83
Laos,6140902,0.0103,0.0045,0,0,0.0002,0.015,0,0,0,0,0,0.009,0.001,0,0,0,0,0,0.01,0.0073,0.67,0,0.6773,0,0,0,0,0.0085,0,0,0,0.0024,0.275,0.0111,0.0007,0.9993,1,0,1
Latvia,2242818,0.3509,0.2415,0.1954,0,0.0024,0.7902,0,0,0,0.0027,0.0027,0.0001,0,0,0,0,0,0,0.0001,0,0,0.0001,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0.2006,0.0061,0.9939,0.9999,0,138
Lebanon,4081000,0.007,0.21,0.12,0,0.07,0.407,0,0,0,0,0,0.27,0.27,0,0,0,0,0,0.54,0,0,0.0184,0.0184,0,0,0,0,0,0,0,0,0,0,0.03,0.0046,0.9954,1,0,83
Lesotho,2094896,0.2369,0.5826,0,0.0489,0.0734,0.9418,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0006,0,0,0.0004,0,0,0,0,0.0504,0.0028,0.0034,0.9966,1.0002,0,350
Liberia,4167344,0.2838,0.0954,0,0.0236,0.4472,0.85,0,0,0,0,0,0.1101,0.0024,0,0,0,0,0,0.1125,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.0264,0.01,0.0001,0.9999,1,0,83
Libya,6509106,0,0.01,0.01,0,0.01,0.03,0,0,0,0,0,0.9695,0,0,0,0,0,0,0.9695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.9995,1,0,1
